ticket_id,title,description,category,severity,source
v1-0001,SSO callback loop for enterprise tenants [AUT-01],Observed in production. users are blocked from signing in. Repro count: 1.,Auth,P1,web
v1-0002,MFA prompt never appears after password entry [AUT-02],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that authentication fails across multiple orgs. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,mobile
v1-0003,Password reset link expires instantly [AUT-03],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however new sessions cannot be established when the boundary condition is met (case #1002).",Auth,P2,api
v1-0004,OIDC token rejected by auth gateway [AUT-04],Observed in production. login flow breaks after redirect. Repro count: 4.,Auth,P2,ops
v1-0005,Service account login fails with 401 [AUT-05],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that access is denied for valid credentials. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,support
v1-0006,Session timeout too aggressive for analysts [AUT-06],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however users are blocked from signing in when the boundary condition is met (case #1005).",Auth,P0,security
v1-0007,Admin cannot impersonate user for support [AUT-07],Observed in production. authentication fails across multiple orgs. Repro count: 7.,Auth,P1,email
v1-0008,SSO callback loop for enterprise tenants [AUT-08],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that new sessions cannot be established. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,chat
v1-0009,MFA prompt never appears after password entry [AUT-09],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however login flow breaks after redirect when the boundary condition is met (case #1008).",Auth,P2,web
v1-0010,Password reset link expires instantly [AUT-10],Observed in production. access is denied for valid credentials. Repro count: 1.,Auth,P2,mobile
v1-0011,OIDC token rejected by auth gateway [AUT-11],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that users are blocked from signing in. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,api
v1-0012,Service account login fails with 401 [AUT-12],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however authentication fails across multiple orgs when the boundary condition is met (case #1011).",Auth,P0,ops
v1-0013,Session timeout too aggressive for analysts [AUT-13],Observed in production. new sessions cannot be established. Repro count: 4.,Auth,P1,support
v1-0014,Admin cannot impersonate user for support [AUT-14],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that login flow breaks after redirect. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,security
v1-0015,SSO callback loop for enterprise tenants [AUT-15],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however access is denied for valid credentials when the boundary condition is met (case #1014).",Auth,P2,email
v1-0016,MFA prompt never appears after password entry [AUT-16],Observed in production. users are blocked from signing in. Repro count: 7.,Auth,P2,chat
v1-0017,Password reset link expires instantly [AUT-17],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that authentication fails across multiple orgs. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,web
v1-0018,OIDC token rejected by auth gateway [AUT-18],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however new sessions cannot be established when the boundary condition is met (case #1017).",Auth,P0,mobile
v1-0019,Service account login fails with 401 [AUT-19],Observed in production. login flow breaks after redirect. Repro count: 1.,Auth,P1,api
v1-0020,Session timeout too aggressive for analysts [AUT-20],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that access is denied for valid credentials. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,ops
v1-0021,Admin cannot impersonate user for support [AUT-21],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however users are blocked from signing in when the boundary condition is met (case #1020).",Auth,P2,support
